aircraft_id,aircraft_type
1,Airplane
2,Airplane
3,Airplane
4,Airplane
5,Airplane
6,Airplane
7,Airplane
8,Airplane
9,Airplane
10,Airplane
11,Airplane
12,Airplane
13,Airplane
14,Airplane
15,Airplane
16,Airplane
17,Airplane
18,Airplane
19,Airplane
20,Airplane
21,Airplane
22,Airplane
23,Airplane
24,Airplane
25,Airplane
26,Airplane
27,Airplane
28,Airplane
29,Airplane
30,Airplane
31,Airplane
32,Airplane
33,Airplane
34,Airplane
35,Airplane
36,Airplane
37,Airplane
38,Airplane
39,Airplane
40,Airplane
41,Airplane
42,Airplane
43,Airplane
44,Airplane
45,Airplane
46,Airplane
47,Airplane
48,Airplane
49,Airplane
50,Airplane
51,Airplane
52,Airplane
53,Airplane
54,Airplane
55,Airplane
56,Airplane
57,Airplane
58,Airplane
59,Airplane
60,Airplane
61,Airplane
62,Airplane
63,Airplane
64,Airplane
65,Airplane
66,Airplane
67,Airplane
68,Airplane
69,Airplane
70,Airplane
71,Airplane
72,Airplane
73,Airplane
74,Airplane
75,Airplane
76,Airplane
77,Airplane
78,Airplane
79,Airplane
80,Airplane
81,Airplane
82,Airplane
83,Airplane
84,Airplane
85,Airplane
86,Airplane
87,Airplane
88,Airplane
89,Airplane
90,Airplane
91,Airplane
92,Airplane
93,Airplane
94,Airplane
95,Airplane
96,Airplane
97,Airplane
98,Airplane
99,Airplane
100,Airplane
101,Airplane
102,Airplane
103,Airplane
104,Airplane
105,Airplane
106,Airplane
107,Airplane
108,Airplane
109,Airplane
110,Airplane
111,Airplane
112,Airplane
113,Airplane
114,Airplane
115,Airplane
116,Airplane
117,Airplane
118,Airplane
119,Airplane
120,Airplane
121,Airplane
122,Airplane
123,Airplane
124,Airplane
125,Airplane
126,Airplane
127,Airplane
128,Airplane
129,Airplane
130,Airplane
131,Airplane
132,Airplane
133,Airplane
134,Airplane
135,Airplane
136,Airplane
137,Airplane
138,Airplane
139,Airplane
140,Airplane
141,Airplane
142,Airplane
143,Airplane
144,Airplane
145,Airplane
146,Airplane
147,Airplane
148,Airplane
149,Airplane
150,Airplane
151,Airplane
152,Airplane
153,Airplane
154,Airplane
155,Airplane
156,Airplane
157,Airplane
158,Airplane
159,Airplane
160,Airplane
161,Airplane
162,Airplane
163,Airplane
164,Airplane
165,Airplane
166,Airplane
167,Airplane
168,Airplane
169,Airplane
170,Airplane
171,Airplane
172,Airplane
173,Airplane
174,Airplane
175,Airplane
176,Airplane
177,Airplane
178,Airplane
179,Airplane
180,Airplane
181,Airplane
182,Airplane
183,Airplane
184,Airplane
185,Airplane
186,Airplane
187,Airplane
188,Airplane
189,Airplane
190,Airplane
191,Airplane
192,Airplane
193,Airplane
194,Airplane
195,Airplane
196,Airplane
197,Airplane
198,Airplane
199,Airplane
200,Airplane
201,Airplane
202,Airplane
203,Airplane
204,Airplane
205,Airplane
206,Airplane
207,Airplane
208,Airplane
209,Airplane
210,Airplane
211,Airplane
212,Airplane
213,Airplane
214,Airplane
215,Airplane
216,Airplane
217,Airplane
218,Airplane
219,Airplane
220,Airplane
221,Airplane
222,Airplane
223,Airplane
224,Airplane
225,Airplane
226,Airplane
227,Airplane
228,Airplane
229,Airplane
230,Airplane
231,Airplane
232,Airplane
233,Airplane
234,Airplane
235,Airplane
236,Airplane
237,Airplane
238,Airplane
239,Airplane
240,Airplane
241,Airplane
242,Airplane
243,Airplane
244,Airplane
245,Airplane
246,Airplane
247,Airplane
248,Airplane
249,Airplane
250,Airplane
251,Airplane
252,Airplane
253,Airplane
254,Airplane
255,Airplane
256,Airplane
257,Airplane
258,Airplane
259,Airplane
260,Airplane
261,Airplane
262,Airplane
263,Airplane
264,Airplane
265,Airplane
266,Airplane
267,Airplane
268,Airplane
269,Airplane
270,Airplane
271,Airplane
272,Airplane
273,Airplane
274,Airplane
275,Airplane
276,Airplane
277,Airplane
278,Airplane
279,Airplane
280,Airplane
281,Airplane
282,Airplane
283,Airplane
284,Airplane
285,Airplane
286,Airplane
287,Airplane
288,Airplane
289,Airplane
290,Airplane
291,Airplane
292,Airplane
293,Airplane
294,Airplane
295,Airplane
296,Airplane
297,Airplane
298,Airplane
299,Airplane
300,Airplane
301,Airplane
302,Airplane
303,Airplane
304,Airplane
305,Airplane
306,Airplane
307,Airplane
308,Airplane
309,Airplane
310,Airplane
311,Airplane
