airport_id,airport_name
1,LAGUARDIA NY
2,DALLAS/FORT WORTH INTL ARPT
3,LAKEFRONT AIRPORT
4,SEATTLE-TACOMA INTL
5,NORFOLK INTL
6,NEW CASTLE COUNTY
7,WASHINGTON DULLES INTL ARPT
8,ATLANTA INTL
9,ORLANDO SANFORD INTL AIRPORT
10,ONTARIO INTL ARPT
11,CHICAGO O'HARE INTL ARPT
12,GROTON-NEW LONDON AR
13,SPIRIT OF ST LOUIS
14,THEODORE FRANCIS GREEN STATE
15,KANSAS CITY INTL
16,LIHUE ARPT
17,PHOENIX SKY HARBOR
18,NASHVILLE INTL
19,JIM HAMILTON L B OWENS ARPT
20,SOUTHWEST FLORIDA INTL ARPT
21,ABERDEEN REGIONAL AR
22,NEWARK LIBERTY INTL ARPT
23,ASPEN-PITKIN CO/SARD
24,ROCHESTER INTL
25,MINNEAPOLIS-ST PAUL INTL
26,PUEBLO MEMORIAL ARPT
27,WESTCHESTER COUNTY ARPT
28,BIRMINGHAM-SHUTTLESWORTH INTL
29,ORLANDO INTL
30,MYRTLE BEACH INTL
31,LAFAYETTE REGIONAL (LA)
32,CLEVELAND-HOPKINS INTL ARPT
33,SAN FRANCISCO INTL ARPT
34,CENTRAL WISCONSIN ARPT
35,DETROIT METRO WAYNE COUNTY ARPT
36,TOLEDO EXPRESS ARPT
37,METRO OAKLAND INTL
38,BEVERLY MUNICIPAL ARPT
39,TED STEVENS ANCHORAGE INTL
40,CHARLOTTE/DOUGLAS INTL ARPT
41,CINCINNATI/NORTHERN KENTUCKY INTL ARPT
42,GREATER PEORIA REGIONAL ARPT
43,INDIANAPOLIS INTL
44,LOUISVILLE INTL ARPT
45,PORTLAND INTL (OR)
46,STEWART INTL AIRPORT
47,LOS ANGELES INTL
48,BURKE LAKEFRONT
49,PHILADELPHIA INTL
50,CAPITAL CITY (MI)
51,PEASE INTL TRADEPORT
52,SAVANNAH INTL
53,HILO INTL ARPT
54,FORT LAUDERDALE/HOLLYWOOD INTL
55,DALLAS LOVE FIELD ARPT
56,LOGAN INTL
57,DENVER INTL AIRPORT
58,KALAMAZOO/BATTLE CREEK INTL
59,GERALD R FORD INTL
60,FORT SMITH MUNICIPAL ARPT
61,MCCARREN INTL
62,HESLER-NOBLE FIELD ARPT
63,PENSACOLA REGIONAL
64,BALTIMORE WASH INTL
65,LAURENCE G HANSCOM
66,PANAMA CITY - BAY COUNTY INTL
67,OXNARD ARPT
68,MORRISTOWN MUNICIPAL ARPT
69,TRENTON MERCER ARPT
70,TETERBORO AIRPORT
71,SANFORD REGIONAL ARPT
72,MEMPHIS INTL
73,GREATER ROCHESTER INTL
74,SAINT HUBERT
75,RALEIGH-DURHAM INTL
76,DUPAGE AIRPORT
77,ROANOKE REGIONAL
78,EL PASO INTL ARPT
79,PALM BEACH INTL
80,LEWISTON-NEZ PERCE CO ARPT
81,BLOOMINGTON/NORMAL
82,INDIANAPOLIS REGIONAL ARPT
83,JACKSON EVERS INTL
84,VANCOUVER INTL
85,LEHIGH VALLEY INTL
86,SALT LAKE CITY INTL
87,QUAD CITY ARPT
88,PORT COLUMBUS INTL
89,EPPLEY AIRFIELD
90,BOB HOPE ARPT
91,GENERAL MITCHELL INTL
92,FRESNO YOSEMITE INTL
93,UNIVERSITY PARK ARPT
94,COLORADO SPRINGS MUNICIPAL
95,FORT WAYNE INTL
96,KEARNEY MUNICIPAL
97,WATERLOO REGIONAL ARPT
98,ALBANY INTL
99,SACRAMENTO INTL
100,JOHN F KENNEDY INTL
101,BUFFALO-NIAGARA INTL
102,AUSTIN STRAUBEL INTL
103,DES MOINES INTL
104,WAUKEGAN REGIONAL ARPT
105,RONALD REAGAN WASHINGTON NATL
106,LOVELL FIELD ARPT
107,JAMES M COX DAYTON INTL
108,ALBUQUERQUE INTL
109,MIAMI INTL
110,JOSLIN FIELD - MAGIC VALLEY REGIONAL
111,GREATER PITTSBURGH
112,TROY MUNICIPAL ARPT
113,NEW ORLEANS INTL
114,LAMBERT-ST LOUIS INTL
115,BRACKETT FIELD ARPT
116,HOUSTON-HOBBY
117,GEORGE BUSH INTERCONTINENTAL
118,RENTON MUNICIPAL ARPT
119,THE EASTERN IOWA ARPT
120,NORTH BEND MUNICIPAL
121,HARRISBURG INTL
122,SANTA BARBARA MUNICIPAL
123,BRADLEY INTL
124,SAN DIEGO INTL
125,YEAGER ARPT
126,CHICAGO MIDWAY INTL ARPT
127,ARDMORE MUNICIPAL
128,SARASOTA-BRADENTON
129,MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL
130,TALLAHASSEE REGIONAL
131,UNALASKA ARPT
132,FULTON COUNTY ARPT - BROWN FIELD
133,GOLDEN TRIANGLE REGIONAL
134,GULFPORT BILOXI REGIONAL
135,MINETA SAN JOSE INTL
136,HUNTSVILLE INTL
137,JAMESTOWN REGIONAL
138,AIRBORNE AIRPARK
139,EVANSVILLE REGIONAL
140,SPOKANE INTERNATIONAL
141,SMITH REYOLDS ARPT
142,LITTLE RIVER ARPT
143,CONCORD REGIONAL ARPT
144,AMARILLO INTL
145,COBB COUNTY ARPT-MC COLLUM FIELD
146,CHARLESTON AFB/INTL ARPT
147,DANBURY MUNICIPAL ARPT
148,RALPH WIEN MEMORIAL ARPT
149,COLUMBUS MUNICIPAL ARPT (IN)
150,VAN NUYS ARPT
151,AUSTIN-BERGSTROM INTL
152,OAKLAND/TROY ARPT
153,BURLINGTON INTL
154,KODIAK AIRPORT
155,NAPA COUNTY ARPT
156,EXECUTIVE ARPT
157,WHITEMAN AIRPORT
158,SCHOLES INTL ARPT AT GALVESTON
159,ADAMS FIELD ARPT
160,MONTGOMERY FIELD ARPT
161,PHOENIX DEER VALLEY ARPT
162,SKYLARK FIELD
163,GREATER BINGHAMTON ARPT
164,KLEBERG COUNTY ARPT
165,JOPLIN REGIONAL
166,JONESBORO MUNICIPAL ARPT
167,HONOLULU INTL ARPT
168,SIOUX GATEWAY ARPT
169,SAN ANTONIO INTL
170,VALLEY INTL
171,JACKSON HOLE
172,JOHN WAYNE AIRPORT
173,DILLINGHAM AIRFIELD
174,SHREVEPORT REGIONAL
175,MCMINN COUNTY ARPT
176,CUYAHOGA COUNTY ARPT
177,MANCHESTER AIRPORT
178,PORTLAND INTL JETPORT (ME)
179,JEFFERSON CITY MEMORIAL ARPT
180,NW ARKANSAS REGIONAL
181,WICHITA MID-CONTINENT ARPT
182,TYLER POUNDS FIELD
183,ADDISON
184,OWENSBORO-DAVIESS
185,ATLANTIC CITY INTL
186,LONG ISLAND MAC ARTHUR
187,ELLINGTON FIELD ARPT
188,LANCASTER ARPT (PA)
189,NORTHEAST PHILADELPHIA ARPT
190,LINCOLN MUNICIPAL
191,SAN CARLOS ARPT
192,IGOR I SIKORSKY MEMORIAL
193,MORGANTOWN MUNICIPAL ARPT
194,SITKA ROCKY GUTIERREZ ARPT
195,GAINESVILLE REG ARPT
