record_id,aircraft_id,airport_id,wildlife_number_struck,wildlife_number_struck_actual,effect_indicated_damage,when_phase_of_flight,remains_of_wildlife_collected,remains_of_wildlife_sent_to_smithsonian,wildlife_size,conditions_sky,wildlife_species,pilot_warned_of_birds_or_wildlife,cost_total,feet_above_ground,number_of_people_injured,flightdate
202152,14384,3905,101.0,859,Caused damage,Climb,False,False,Medium,No Cloud,Unknown bird - medium,False,30736,1500.0,0,2000-11-23T00:00:00
208159,14384,3906,101.0,424,Caused damage,Landing Roll,False,False,Small,Some Cloud,Rock pigeon,True,0,0.0,0,2001-07-25T00:00:00
207601,14384,3907,101.0,261,No damage,Approach,False,False,Small,No Cloud,European starling,False,0,50.0,0,2001-09-14T00:00:00
215953,14384,3908,101.0,806,No damage,Climb,True,False,Small,Some Cloud,European starling,True,0,50.0,0,2002-09-05T00:00:00
219878,14384,3909,101.0,942,No damage,Approach,False,False,Small,No Cloud,European starling,False,0,50.0,0,2003-06-23T00:00:00
221697,14384,3910,101.0,227,Caused damage,Climb,True,True,Small,No Cloud,European starling,False,1481711,150.0,0,2003-08-17T00:00:00
236635,14384,3911,101.0,320,Caused damage,Approach,True,False,Small,Some Cloud,European starling,True,1483141,100.0,0,2006-03-01T00:00:00
201162,14384,4148,1.0,1,No damage,Landing Roll,False,False,Small,Overcast,Unknown bird - small,False,0,0.0,0,2000-01-02T00:00:00
203926,14384,4013,1.0,1,No damage,Approach,False,False,Medium,No Cloud,Unknown bird - medium,True,0,2000.0,0,2000-01-02T00:00:00
201026,14384,3924,1.0,1,Caused damage,Approach,False,False,Medium,No Cloud,Unknown bird - medium,True,120273,200.0,0,2000-01-02T00:00:00
208776,14384,3922,1.0,1,No damage,Climb,False,False,Small,Some Cloud,Unknown bird - small,True,0,800.0,0,2000-01-03T00:00:00
203735,14384,3912,1.0,1,Caused damage,Climb,False,False,Medium,Some Cloud,Unknown bird - medium,False,0,1800.0,0,2000-01-03T00:00:00
208470,14384,4039,1.0,1,No damage,Climb,False,False,Large,Some Cloud,Unknown bird - large,False,26727,100.0,0,2000-01-04T00:00:00
204251,14384,3974,1.0,1,No damage,Climb,False,False,Large,Overcast,Great black-backed gull,False,0,50.0,0,2000-01-04T00:00:00
204764,14384,3935,1.0,1,No damage,Approach,False,False,Small,No Cloud,Unknown bird - small,False,0,100.0,0,2000-01-04T00:00:00
203953,14384,3992,1.0,1,No damage,Take-off run,False,False,Medium,Overcast,Red-tailed hawk,False,0,0.0,0,2000-01-05T00:00:00
202558,14384,3919,1.0,1,No damage,Landing Roll,False,False,Small,No Cloud,Unknown bird - small,True,0,0.0,0,2000-01-06T00:00:00
204109,14384,4307,1.0,1,No damage,Climb,False,False,Small,Overcast,Mourning dove,False,0,100.0,0,2000-01-07T00:00:00
202271,14384,4013,1.0,1,No damage,Climb,False,False,Large,Some Cloud,Osprey,True,0,800.0,0,2000-01-08T00:00:00
207354,14384,3968,1.0,1,No damage,Climb,False,False,Medium,Overcast,Unknown bird - medium,True,0,5.0,0,2000-01-09T00:00:00
202132,14384,3965,1.0,1,No damage,Approach,False,False,Small,Overcast,Rock pigeon,False,0,700.0,0,2000-01-09T00:00:00
208032,14384,3992,1.0,1,No damage,Landing Roll,False,False,Medium,Overcast,Unknown bird - medium,False,0,0.0,0,2000-01-11T00:00:00
204186,14384,4123,1.0,1,No damage,Take-off run,False,False,Medium,Overcast,Unknown bird - medium,False,0,0.0,0,2000-01-12T00:00:00
